135	12.272813	12.301682
27	10.891819	10.987163
37	10.267013	10.834755
133	13.791036	13.905539
186	13.753752	13.807076
42	13.070499	13.434490
161	13.380209	13.714779
156	11.173098	11.184255
121	10.495723	10.580016
226	12.762478	12.799711
183	8.441413	8.535057
55	14.282275	14.372045
182	11.527530	11.753781
144	9.490305	9.672903
188	13.296585	13.483746
95	10.659586	10.790010
7	10.894797	11.253372
178	13.352485	13.388715
227	9.682502	9.829944
138	11.140354	11.426906
50	11.287748	11.361141
30	12.132303	12.338873
139	13.099986	13.235024
259	10.309613	10.972214
218	12.698850	12.842275
239	13.702875	13.725273
3	11.882445	12.201494
41	11.029387	11.094840
198	12.863890	13.020816
59	13.641328	13.743956
69	10.575833	10.830002
104	11.938365	12.055730
251	13.548922	13.674558
257	12.917305	13.061904
103	9.052547	9.232410
47	13.860795	13.915563
14	9.946960	10.062779
142	10.677792	10.711188
77	7.919147	8.019879
71	11.981274	12.142465
206	11.864683	11.868609
62	11.433492	11.455331
100	11.391769	11.448472
189	11.416800	11.507294
219	11.502411	11.545332
140	10.730650	10.785047
258	12.498394	12.699201
213	9.623405	9.807101
174	14.131719	14.237179
203	11.398449	11.409396
181	11.766155	12.149290
168	11.028447	11.134892
57	12.684916	12.746618
119	9.740675	9.786544
115	11.102145	11.123294
172	14.000278	14.058130
101	10.712200	10.835437
66	12.244477	12.309462
52	10.216553	10.229115
17	11.643731	11.756755
