1	1243394048	1243394560	[1]
2	1243394496	1243395008	[1]
3	1243394944	1243395456	[1]
4	1243395392	1243395904	[1]
5	1243395840	1243396352	[1]
6	1243396288	1243396800	[1]
7	1243396736	1243397248	[1]
8	1243397184	1243397696	[1]
9	1243397632	1243398144	[1]
10	1243398080	1243398592	[1,2]
11	1243398528	1243399040	[2]
12	1243398976	1243399488	[2]
13	1243399424	1243399936	[2]
14	1243399872	1243400384	[2]
15	1243400320	1243400832	[2]
16	1243400768	1243401280	[2]
17	1243401216	1243401728	[2]
18	1243401664	1243402176	[2]
19	1243402112	1243402624	[2,3]
20	1243402560	1243403072	[3]
21	1243403008	1243403520	[3]
22	1243403456	1243403968	[3]
23	1243403904	1243404416	[3]
24	1243404352	1243404864	[3]
25	1243404800	1243405312	[3]
26	1243405248	1243405760	[3]
27	1243405696	1243406208	[3]
28	1243406144	1243406656	[3,4]
29	1243406592	1243407104	[4]
30	1243407040	1243407552	[4]
31	1243407488	1243408000	[4]
32	1243407936	1243408448	[4]
33	1243408384	1243408896	[4]
34	1243408832	1243409344	[4]
35	1243409280	1243409792	[4]
36	1243409728	1243410240	[4]
37	1243410176	1243410688	[4,5]
38	1243410624	1243411136	[5]
39	1243411072	1243411584	[5]
40	1243411520	1243412032	[5]
41	1243411968	1243412480	[5]
42	1243412416	1243412928	[5]
43	1243412864	1243413376	[5]
44	1243413312	1243413824	[5]
45	1243413760	1243414272	[5]
46	1243414208	1243414720	[5,6]
47	1243414656	1243415168	[6]
48	1243415104	1243415616	[6]
49	1243415552	1243416064	[6]
50	1243416000	1243416512	[6]
51	1243416448	1243416960	[6]
52	1243416896	1243417408	[6]
53	1243417344	1243417856	[6]
54	1243417792	1243418304	[6]
55	1243418240	1243418752	[6,7]
56	1243418688	1243419200	[7]
57	1243419136	1243419648	[7]
58	1243419584	1243420096	[7]
59	1243420032	1243420544	[7]
60	1243420480	1243420992	[7]
61	1243420928	1243421440	[7]
62	1243421376	1243421888	[7]
63	1243421824	1243422336	[7]
64	1243422272	1243422784	[7,8]
65	1243422720	1243423232	[8]
66	1243423168	1243423680	[8]
67	1243423616	1243424128	[8]
68	1243424064	1243424576	[8]
69	1243424512	1243425024	[8]
70	1243424960	1243425472	[8]
71	1243425408	1243425920	[8]
72	1243425856	1243426368	[8]
73	1243426304	1243426816	[8]
74	1243426752	1243427264	[8,9]
75	1243427200	1243427712	[9]
76	1243427648	1243428160	[9]
77	1243428096	1243428608	[9]
78	1243428544	1243429056	[9]
79	1243428992	1243429504	[9]
80	1243429440	1243429952	[9]
81	1243429888	1243430400	[9]
82	1243430336	1243430848	[9]
83	1243430784	1243431296	[9,10]
84	1243431232	1243431744	[10]
85	1243431680	1243432192	[10]
86	1243432128	1243432640	[10]
87	1243432576	1243433088	[10]
88	1243433024	1243433536	[10]
89	1243433472	1243433984	[10]
90	1243433920	1243434432	[10]
91	1243434368	1243434880	[10]
92	1243434816	1243435328	[10,11]
93	1243435264	1243435776	[11]
94	1243435712	1243436224	[11]
95	1243436160	1243436672	[11]
96	1243436608	1243437120	[11]
97	1243437056	1243437568	[11]
98	1243437504	1243438016	[11]
99	1243437952	1243438464	[11]
100	1243438400	1243438912	[11]
101	1243438848	1243439360	[11,12]
102	1243439296	1243439808	[12]
103	1243439744	1243440256	[12]
104	1243440192	1243440704	[12]
105	1243440640	1243441152	[12]
106	1243441088	1243441600	[12]
107	1243441536	1243442048	[12]
108	1243441984	1243442496	[12]
109	1243442432	1243442944	[12]
110	1243442880	1243443392	[12,13]
111	1243443328	1243443840	[13]
112	1243443776	1243444288	[13]
113	1243444224	1243444736	[13]
114	1243444672	1243445184	[13]
115	1243445120	1243445632	[13]
116	1243445568	1243446080	[13]
117	1243446016	1243446528	[13]
118	1243446464	1243446976	[13]
119	1243446912	1243447424	[13,14]
120	1243447360	1243447872	[14]
121	1243447808	1243448320	[14]
122	1243448256	1243448768	[14]
123	1243448704	1243449216	[14]
124	1243449152	1243449664	[14]
125	1243449600	1243450112	[14]
126	1243450048	1243450560	[14]
127	1243450496	1243451008	[14]
128	1243450944	1243451456	[14,15]
129	1243451392	1243451904	[15]
130	1243451840	1243452352	[15]
131	1243452288	1243452800	[15]
132	1243452736	1243453248	[15]
133	1243453184	1243453696	[15]
134	1243453632	1243454144	[15]
135	1243454080	1243454592	[15]
136	1243454528	1243455040	[15]
137	1243454976	1243455488	[15]
138	1243455424	1243455936	[15,16]
139	1243455872	1243456384	[16]
140	1243456320	1243456832	[16]
141	1243456768	1243457280	[16]
142	1243457216	1243457728	[16]
143	1243457664	1243458176	[16]
144	1243458112	1243458624	[16]
145	1243458560	1243459072	[16]
146	1243459008	1243459520	[16]
147	1243459456	1243459968	[16,17]
148	1243459904	1243460416	[17]
149	1243460352	1243460864	[17]
150	1243460800	1243461312	[17]
151	1243461248	1243461760	[17]
152	1243461696	1243462208	[17]
153	1243462144	1243462656	[17]
154	1243462592	1243463104	[17]
155	1243463040	1243463552	[17]
156	1243463488	1243464000	[17,18]
157	1243463936	1243464448	[18]
158	1243464384	1243464896	[18]
159	1243464832	1243465344	[18]
160	1243465280	1243465792	[18]
161	1243465728	1243466240	[18]
162	1243466176	1243466688	[18]
163	1243466624	1243467136	[18]
164	1243467072	1243467584	[18]
165	1243467520	1243468032	[18,19]
166	1243467968	1243468480	[19]
167	1243468416	1243468928	[19]
168	1243468864	1243469376	[19]
169	1243469312	1243469824	[19]
170	1243469760	1243470272	[19]
171	1243470208	1243470720	[19]
172	1243470656	1243471168	[19]
